state;species number;estimated species number
Acre;96;511
Alagoas;16;312
Amapá;143;501
Amazonas;388;1003
Bahia;235;747
Ceará;133;505
Distrito Federal;49;199
Espírito Santo;201;362
Goiás;171;645
Maranhão;153;640
Mato Grosso;323;856
Mato Grosso do Sul;102;654
Minas Gerais;430;755
Pará;447;938
Paraíba;88;384
Paraná;400;552
Pernambuco;62;451
Piauí;45;591
Rio de Janeiro;247;356
Rio Grande do Norte;46;378
Rio Grande do Sul;262;610
Rondônia;131;581
Roraima;40;571
Santa Catarina;221;446
São Paulo;549;588
Sergipe;12;292
Tocantins;44;608