country;number of species
Anguilla;1
Argentina;1021
Bahamas;20
Barbados;9
Belize;30
Bermuda;2
Bolivia;487
Brazil;1678
Cayman Islands;1
Chile;409
Colombia;398
Costa Rica;416
Cuba;82
Dominica;16
Dominican Republic;27
Ecuador;305
El Salvador;59
French Guiana;163
Grenada;11
Guadeloupe;11
Guatemala;216
Guyana;220
Haiti;27
Honduras;175
Jamaica;52
Martinique;5
Mexico;916
Montserrat;8
Nicaragua;52
Panama;390
Paraguay;478
Peru;592
Puerto Rico;29
Saba & Sint Eustatius;2
Saint Kitts and Nevis Islands;3
Saint Lucia;2
Saint Martin & St. Barthelemy;2
Saint Vincent and the Grenadines;37
Suriname;83
Trinidad and Tobago;77
Uruguay;74
Venezuela;232
Virgin Islands;4